title,price,paper_price,isbn,rating,page,publisher
کمی دیرتر,19900,29000,9789643376864,4.53,267,انتشارات کتاب نیستان
تسلی بخشی‌های فلسفه,13000,18000,9789643114794,4.26,303,گروه انتشاراتی ققنوس
زندگی دومت زمانی آغاز می‌شود که می‌فهمی فقط یک زندگی داری,11400,25000,9789644429958,4,204,انتشارات البرز
بریت‌ماری اینجا بود,8000,28000,9786007141847,4.23,380,نشر نون
زنی در کابین ۱۰,9000,29500,9786008740155,3.99,352,نشر نون
رفتیم بیرون سیگار بکشیم، هفده سال طول کشید...,10200,17000,9786002296986,3.95,192,نشر چشمه
صبح جادویی,15000,30000,9786008534020,4.18,216,نوآوران سینا
نیمه تاریک وجود‌,10000,17500,9789647974042,4.49,216,کلک آزادگان
هنر عشق ­ورزیدن,4900,nan,nan,3.91,200,ناشرمولف
کافکا در کرانه,19000,38000,9789644483509,4.22,607,نشر نیلوفر
۷  عادت مردمان موثر,10000,29000,9786005361285,4.13,520,هورمزد
در باب حکمت زندگی,9500,19000,9789644484070,4.44,277,نشر نیلوفر
۱۹۸۴,8000,20000,9789644480447,4.48,272,نشر نیلوفر
اثر مرکب,4900,20000,9786006407456,4.62,240,انتشارات نگاه نوین
خطای ستارگان بخت ما,14000,28000,9786002961150,4.6,412,انتشارات پیدایش
درمان شوپنهاور,19900,42000,9786001196195,4.64,552,نشر قطره
منِ او,16500,33000,9789643697594,4.39,600,نشر افق
بادبادک‌باز,12000,30000,9786007987292,4.65,432,انتشارات مجید
درباره اعتماد به نفس,4900,nan,nan,4.08,0,ناشرمولف
بیندیشید و ثروتمند شوید,9900,12000,9789643119706,3.51,200,گروه انتشاراتی ققنوس
جستارهایی در باب عشق,13500,22500,9789644484780,4.18,228,نشر نیلوفر
بازی‌ها,6000,nan,9789647390736,4.07,248,ذهن‌آویز
بلندی‌های بادگیر,22800,38000,9789641851813,4.09,438,نشر نی
روان‌درمانی اگزیستانسیال,28800,48000,9789641851691,4.3,728,نشر نی
اسرار ذهن میلیونر,9000,18000,9786005361179,4.46,209,هورمزد
ما در برابر شما,15000,41000,9786008740315,4.7,448,نشر نون
جنایت و مکافات‌,28000,70000,9789643517397,4.53,711,انتشارات نگاه
قلعه حيوانات,2700,6500,9644530527,4.64,127,انتشارات مجید
جامعه شناسی خودمانی,8500,17000,9789649317031,4.26,163,نشر اختران
